Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RLCO.JK,RLCO.JK,RLCO.JK,RLCO.JK,RLCO.JK,RLCO.JK
Date,,,,,,
2025-12-08,226.0,226.0,226.0,226.0,226.0,1127000
2025-12-09,282.0,282.0,282.0,282.0,282.0,807800
2025-12-10,352.0,352.0,352.0,352.0,352.0,1767500
2025-12-11,440.0,440.0,440.0,440.0,440.0,2854600
2025-12-12,550.0,550.0,550.0,550.0,550.0,5019900
2025-12-15,685.0,685.0,685.0,685.0,685.0,14712900
